kernel_time avg p50 p90 p99
100 25.651 25.422 30.454 40.667
200 25.669 25.657 29.930 36.447
300 25.733 25.489 30.581 38.872
400 25.948 26.806 31.058 37.067
500 26.765 25.548 30.443 36.384
600 25.333 25.112 30.022 34.668
700 29.927 29.461 31.999 39.818
800 23.576 23.021 25.215 35.055
900 26.617 25.180 32.522 40.334
1000 23.576 23.041 25.027 34.015
1100 25.483 25.075 27.303 36.312
1200 25.450 25.008 27.031 37.981
1300 27.779 27.259 29.675 39.429
1400 29.803 29.329 31.419 41.457
1500 29.760 29.343 31.216 40.346
1600 27.769 27.198 29.689 37.648
1700 20.927 20.077 27.399 35.913
1800 29.724 29.310 31.315 38.252
1900 25.691 25.109 27.314 39.101
2000 25.565 25.184 27.104 33.651
9999 33.475 31.722 45.229 84.920
